Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,84.074,-59.154,90,top
C2,10uF,C_0805_2012Metric,81.915,-59.497,90,top
C3,1uF,C_0402_1005Metric,105.692,-58.42,180,top
C4,0.1uF,C_0402_1005Metric,89.789,-103.787,90,top
C5,10uF,C_0805_2012Metric,91.567,-99.8118,90,top
C6,10uF,C_0805_2012Metric,85.537,-102.743,180,top
C7,0.1uF,C_0402_1005Metric,92.763,-96.52,0,top
C8,0.1uF,C_0402_1005Metric,88.519,-103.787,-90,top
C9,0.1uF,C_0402_1005Metric,103.533,-105.742,0,top
C10,10uF,C_0805_2012Metric,91.567,-103.439,-90,top
C11,22pF,C_0402_1005Metric,98.552,-87.221,90,top
C12,22pF,C_0402_1005Metric,97.409,-87.2002,90,top
C13,4.7uF,C_0603_1608Metric,99.314,-95.771,90,top
C14,0.1uF,C_0402_1005Metric,101.219,-95.222,90,top
C15,1uF,C_0402_1005Metric,105.283,-103.604,-90,top
D1,RED,LED_0603_1608Metric,95.077,-95.7835,90,top
D2,SP0503BAHT,SOT-143,95.982,-99.806,0,top
D3,D_Schottky,D_SOD-323,94.615,-104.555,-90,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,94.61,-115.3815,0,top
J3,Conn_01x20_Socket,PinSocket_1x20_P2.54mm_Vertical,110.998,-62.992,0,top
J4,Conn_01x20_Socket,PinSocket_1x20_P2.54mm_Vertical,77.978,-62.992,0,top
Q1,2N2219,SOT-23,86.2815,-89.723,0,top
Q2,2N2219,SOT-23,93.7745,-89.789,180,top
R1,10k,R_0402_1005Metric,105.662,-59.817,180,top
R2,10k,R_0402_1005Metric,92.962,-83.82,0,top
R3,5.1k,R_0402_1005Metric,92.789,-94.869,0,top
R5,0,R_0402_1005Metric,98.552,-89.41,90,top
R6,0,R_0402_1005Metric,97.409,-89.41,90,top
R8,2k,R_0402_1005Metric,106.507,-103.585,90,top
R9,22.1k,R_0402_1005Metric,102.616,-103.583,90,top
R10,47.5k,R_0402_1005Metric,103.967,-103.583,-90,top
R11,10k,R_0402_1005Metric,89.281,-89.785,90,top
R12,10k,R_0402_1005Metric,90.805,-89.787,90,top
R13,10k,R_0402_1005Metric,107.777,-103.585,-90,top
R14,0,R_0402_1005Metric,104.394,-92.966,-90,top
R15,0,R_0402_1005Metric,105.664,-92.966,-90,top
R16,0,R_0402_1005Metric,97.405,-94.869,0,top
R17,0,R_0402_1005Metric,97.407,-96.774,0,top
SW1,SW_Push,B3U-1000P,85.471,-112.317,-90,top
SW2,SW_Push,B3U-1000P,103.632,-112.19,-90,top
U1,ESP32-S2-WROVER,ESP32-S2-WROVER,94.692,-70.092,0,top
U2,AMS1117,SOT-223-3_TabPin2,86.487,-97.13,90,top
U3,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,105.26,-98.021,0,top
